intensity,Lat,Long
19857,13.0825,80.275
603,23.8333,91.2667
458,28.66,77.23
319,17.9756,79.6011
119,22.7206,75.8472
105,25.42,86.13
101,27.5667,76.6167
71,28.58,78.55
70,23.73,86.85
69,13.65,79.42
55,18.9667,72.8333
48,12.8703,74.8806
46,11.93,79.83
40,23.8504,78.75
33,11,76.9667
28,8.8853,76.5864
24,19.32,84.8
21,18.5196,73.8553
20,15.36,75.125
19,25.61,85.1414
10,14.4667,78.8167
10,15.5,80.05
7,24.5833,73.6833
7,9.9197,78.1194
6,21.2167,81.4333
6,23.1828,75.7772
6,11.25,75.7667
5,20.45,85.8667
5,11.65,78.1667
4,28.9,76.5667
3,10.8,79.15
2,23.2504,69.81
1,20.7333,77
1,28.99,77.7
1,29.1489,75.7367
